Date,Domestic Visitors,Foreign Visitors,shimla flights,shimla buses,buses - shimla,cars - shimla,trains - shimla,shimla trains,shimla cars,shimla bus booking,Shimla bus timings,Shimla train booking,Shimla train timings,Shimla flight booking,Flights in Shimla,Shimla airport,Flights near Shimla:,Total Transport,temperature_2m (Â°C),relativehumidity_2m (%),windspeed_10m (km/h),rain (mm)_sum,snowfall (cm)_sum
2010-01-03,38127,1768,0,0,0,0,0,21,0,29,0,0,44,0,0,0,81,175,3.815278,65.06944,4.45,10.6,2.1
2010-01-10,38139,1752,0,29,30,43,0,20,41,0,56,0,27,29,0,36,0,311,3.839286,67.27381,5.09881,0.2,0
2010-01-17,38167,1779,23,18,0,0,0,0,0,0,0,0,0,0,0,61,43,145,2.242857,62.92857,5.214286,2.3,9.94
2010-01-24,50814,1764,0,0,0,52,44,0,0,100,0,0,0,0,0,0,36,232,3.832143,59.34524,4.985714,0.7,0
2010-02-07,36032,1514,0,0,31,0,29,0,0,0,0,0,0,0,0,25,0,85,4.267857,61.23214,5.006548,11.7,0.21
2010-02-14,35886,1617,0,60,0,0,0,21,0,53,0,25,0,0,0,0,0,159,1.544643,75.67857,5.178571,51.9,26.11
2010-02-21,35935,1599,0,0,31,26,0,0,0,0,0,0,46,0,0,28,0,131,4.284524,57.9881,5.270833,0.9,0.21
2010-02-28,47701,1574,0,0,69,0,0,0,0,0,0,0,24,0,0,0,39,132,7.839881,65.8631,4.8125,7.4,0.42
2010-03-07,40781,3128,37,0,0,0,0,19,0,0,0,0,0,0,0,34,0,90,7.618452,64.50595,5.294643,23.9,0.07
2010-03-14,40793,3173,24,0,36,0,0,53,0,0,0,0,61,77,0,0,0,251,9.101786,56.5,5.270238,1.1,0
2010-03-21,40732,3075,50,63,0,0,32,21,27,67,0,100,33,0,0,40,0,433,12.6506,60.41667,4.804762,0,0
2010-03-28,54245,3033,0,43,46,0,66,0,0,0,100,0,49,0,0,0,100,404,15.02262,43.625,5.036905,0.3,0
2010-04-04,81171,3024,56,0,0,0,39,0,55,58,34,0,0,0,61,14,0,317,12.67976,44.64881,5.42381,8.4,0
2010-04-11,81135,2995,0,0,0,80,75,0,0,0,0,0,0,21,0,26,0,202,16.22976,32.49405,5.520833,0.6,0
2010-04-18,81205,3104,0,0,27,0,0,20,0,33,0,26,32,0,0,53,0,191,17.03869,37.9881,6.345238,8.2,0
2010-04-25,107882,3082,0,0,0,0,50,36,27,0,0,0,32,54,0,35,0,234,14.3131,53.88095,6.078571,22.1,0
2010-05-02,83153,2240,0,53,0,0,61,38,0,0,38,0,62,0,0,0,93,345,16.41607,46.80357,5.016667,8.9,0
2010-05-09,83168,2402,0,0,74,75,82,100,0,68,0,18,0,36,0,63,0,516,16.19643,59.625,5.244048,16.6,0
