,Year,all_dates_week_number,Total_holidays
0,2010,1,2
1,2010,2,3
2,2010,3,2
3,2010,4,3
4,2010,5,2
5,2010,6,2
6,2010,7,2
7,2010,8,3
8,2010,9,3
9,2010,10,2
10,2010,11,2
11,2010,12,2
12,2010,13,3
13,2010,14,2
14,2010,15,2
15,2010,16,2
16,2010,17,2
17,2010,18,2
18,2010,19,2
19,2010,20,2
20,2010,21,2
21,2010,22,2
22,2010,23,2
23,2010,24,2
24,2010,25,2
25,2010,26,2
26,2010,27,2
27,2010,28,2
28,2010,29,2
29,2010,30,2
30,2010,31,2
31,2010,32,2
32,2010,33,2
33,2010,34,2
34,2010,35,2
35,2010,36,3
36,2010,37,2
37,2010,38,2
38,2010,39,2
39,2010,40,2
40,2010,41,2
41,2010,42,2
42,2010,43,2
43,2010,44,3
44,2010,45,2
45,2010,46,4
46,2010,47,2
47,2010,48,2
48,2010,49,2
49,2010,50,3
50,2010,51,2
51,2010,52,0
52,2010,53,2
53,2011,1,2
54,2011,2,3
55,2011,3,2
56,2011,4,3
57,2011,5,2
58,2011,6,2
59,2011,7,3
60,2011,8,2
61,2011,9,2
62,2011,10,2
63,2011,11,2
64,2011,12,2
65,2011,13,2
66,2011,14,2
67,2011,15,2
68,2011,16,3
69,2011,17,2
70,2011,18,2
71,2011,19,2
72,2011,20,2
73,2011,21,2
74,2011,22,2
75,2011,23,2
76,2011,24,2
77,2011,25,2
78,2011,26,2
79,2011,27,2
80,2011,28,2
81,2011,29,2
82,2011,30,2
83,2011,31,2
84,2011,32,2
85,2011,33,3
86,2011,34,2
87,2011,35,4
88,2011,36,2
89,2011,37,2
90,2011,38,2
91,2011,39,2
92,2011,40,2
93,2011,41,2
94,2011,42,2
95,2011,43,3
96,2011,44,2
97,2011,45,3
98,2011,46,2
99,2011,47,2
100,2011,48,2
101,2011,49,3
102,2011,50,2
103,2011,51,2
104,2011,52,3
105,2012,1,2
106,2012,2,2
107,2012,3,2
108,2012,4,3
109,2012,5,2
110,2012,6,2
111,2012,7,2
112,2012,8,2
113,2012,9,2
114,2012,10,3
115,2012,11,2
116,2012,12,2
117,2012,13,2
118,2012,14,3
119,2012,15,2
120,2012,16,2
121,2012,17,2
122,2012,18,3
123,2012,19,2
124,2012,20,2
125,2012,21,2
126,2012,22,2
127,2012,23,2
128,2012,24,2
129,2012,25,2
130,2012,26,2
131,2012,27,2
132,2012,28,2
133,2012,29,2
134,2012,30,2
135,2012,31,2
136,2012,32,2
137,2012,33,3
138,2012,34,3
139,2012,35,2
140,2012,36,2
141,2012,37,2
142,2012,38,2
143,2012,39,2
144,2012,40,3
145,2012,41,2
146,2012,42,2
147,2012,43,3
148,2012,44,2
149,2012,45,2
150,2012,46,3
151,2012,47,2
152,2012,48,2
153,2012,49,2
154,2012,50,2
155,2012,51,2
156,2012,52,4
157,2013,1,2
158,2013,2,2
159,2013,3,3
160,2013,4,3
161,2013,5,2
162,2013,6,2
163,2013,7,2
164,2013,8,2
165,2013,9,2
166,2013,10,2
167,2013,11,2
168,2013,12,2
169,2013,13,4
170,2013,14,2
171,2013,15,2
172,2013,16,2
173,2013,17,2
174,2013,18,3
175,2013,19,2
176,2013,20,2
177,2013,21,2
178,2013,22,2
179,2013,23,2
180,2013,24,2
181,2013,25,2
182,2013,26,2
183,2013,27,2
184,2013,28,2
185,2013,29,2
186,2013,30,2
187,2013,31,2
188,2013,32,4
189,2013,33,3
190,2013,34,2
191,2013,35,2
192,2013,36,2
193,2013,37,2
194,2013,38,2
195,2013,39,2
196,2013,40,3
197,2013,41,2
198,2013,42,4
199,2013,43,2
200,2013,44,2
201,2013,45,2
202,2013,46,3
203,2013,47,2
204,2013,48,2
205,2013,49,2
206,2013,50,2
207,2013,51,2
208,2013,52,3
209,2014,1,2
210,2014,2,2
211,2014,3,4
212,2014,4,2
213,2014,5,2
214,2014,6,2
215,2014,7,2
216,2014,8,2
217,2014,9,2
218,2014,10,2
219,2014,11,2
220,2014,12,3
221,2014,13,2
222,2014,14,2
223,2014,15,2
224,2014,16,3
225,2014,17,2
226,2014,18,3
227,2014,19,2
228,2014,20,2
229,2014,21,2
230,2014,22,2
231,2014,23,2
232,2014,24,2
233,2014,25,2
234,2014,26,2
235,2014,27,2
236,2014,28,2
237,2014,29,2
238,2014,30,2
239,2014,31,4
240,2014,32,2
241,2014,33,3
242,2014,34,2
243,2014,35,2
244,2014,36,2
245,2014,37,2
246,2014,38,2
247,2014,39,2
248,2014,40,3
249,2014,41,2
250,2014,42,2
251,2014,43,3
252,2014,44,2
253,2014,45,3
254,2014,46,2
255,2014,47,2
256,2014,48,2
257,2014,49,2
258,2014,50,2
259,2014,51,2
260,2014,52,3
261,2015,1,2
262,2015,2,2
263,2015,3,3
264,2015,4,2
265,2015,5,3
266,2015,6,2
267,2015,7,2
268,2015,8,2
269,2015,9,2
270,2015,10,3
271,2015,11,2
272,2015,12,2
273,2015,13,2
274,2015,14,3
275,2015,15,2
276,2015,16,2
277,2015,17,2
278,2015,18,3
279,2015,19,2
280,2015,20,2
281,2015,21,2
282,2015,22,2
283,2015,23,2
284,2015,24,2
285,2015,25,2
286,2015,26,2
287,2015,27,2
288,2015,28,2
289,2015,29,3
290,2015,30,2
291,2015,31,2
292,2015,32,2
293,2015,33,2
294,2015,34,2
295,2015,35,2
296,2015,36,2
297,2015,37,2
298,2015,38,2
299,2015,39,4
300,2015,40,3
301,2015,41,2
302,2015,42,2
303,2015,43,3
304,2015,44,2
305,2015,45,2
306,2015,46,3
307,2015,47,2
308,2015,48,2
309,2015,49,2
310,2015,50,2
311,2015,51,2
312,2015,52,4
313,2015,53,0
314,2016,1,2
315,2016,2,3
316,2016,3,2
317,2016,4,3
318,2016,5,2
319,2016,6,2
320,2016,7,2
321,2016,8,2
322,2016,9,2
323,2016,10,2
324,2016,11,2
325,2016,12,4
326,2016,13,2
327,2016,14,2
328,2016,15,2
329,2016,16,2
330,2016,17,2
331,2016,18,2
332,2016,19,2
333,2016,20,2
334,2016,21,2
335,2016,22,2
336,2016,23,2
337,2016,24,2
338,2016,25,2
339,2016,26,2
340,2016,27,4
341,2016,28,2
342,2016,29,2
343,2016,30,2
344,2016,31,2
345,2016,32,2
346,2016,33,3
347,2016,34,2
348,2016,35,2
349,2016,36,2
350,2016,37,3
351,2016,38,2
352,2016,39,2
353,2016,40,2
354,2016,41,3
355,2016,42,2
356,2016,43,2
357,2016,44,2
358,2016,45,2
359,2016,46,2
360,2016,47,2
361,2016,48,2
362,2016,49,2
363,2016,50,2
364,2016,51,2
365,2016,52,1
366,2016,53,2
367,2017,1,2
368,2017,2,2
369,2017,3,2
370,2017,4,3
371,2017,5,2
372,2017,6,2
373,2017,7,2
374,2017,8,2
375,2017,9,2
376,2017,10,2
377,2017,11,3
378,2017,12,2
379,2017,13,2
380,2017,14,2
381,2017,15,3
382,2017,16,2
383,2017,17,2
384,2017,18,3
385,2017,19,2
386,2017,20,2
